name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude
Loup Loup Ski Bowl,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,70.0,4068,5315,1247,7.0,Washington,550.0,150,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,No,48.3941812890481,-119.91114568404
Loveland,https://www.skiresort.info/ski-resort/loveland/,149.0,10646,12700,2054,58.0,Colorado,1800.0,422,Independent,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,7,No,39.6809795033515,-105.897469080953
Lutsen Mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,105.0,863,1690,827,25.0,Minnesota,393.0,120,Midwest Family Ski Resorts,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,7,No,47.6640809719027,-90.7133168699301
Lyndon Outing Club,https://www.skiresort.info/ski-resort/lyndon-outing-club/,15.0,853,1247,394,2.0,Vermont,18.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,44.533266212434,-71.9871816771729
Mad River Glen,https://www.skiresort.info/ski-resort/mad-river-glen/,99.0,1598,3635,2037,29.0,Vermont,115.0,250,Independent,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,5,No,44.2024365758659,-72.9176184544531
Mad River Mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/,59.0,1158,1460,302,4.0,Ohio,144.0,36,Independent,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,3,1,9,No,40.3172137811819,-83.6786803473792
Magic Mountain (Idaho),https://www.skiresort.info/ski-resort/magic-mountain-resort/,40.0,6499,7241,741,7.0,Idaho,120.0,230,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,No,42.1889478686764,-114.285421601892
Magic Mountain (Vermont),https://www.skiresort.info/ski-resort/magic-mountain/,89.0,1148,2848,1699,14.0,Vermont,205.0,150,Independent,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,5,No,43.2016581739691,-72.7724161235869
Mammoth Mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,259.0,7953,11053,3100,56.0,California,3500.0,400,Alterra,0,2,0,0,0,4,0,8,1,6,0,3,0,0,0,1,0,2,27,No,37.6505605971238,-119.037074193745
Maple Ski Ridge,https://www.skiresort.info/ski-resort/maple-ski-ridge/,43.0,538,820,282,1.0,New York,60.0,60,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4,No,42.8170310293506,-74.0322733289397
Marquette Mountain,https://www.skiresort.info/ski-resort/marquette-mountain/,80.0,787,1280,492,6.0,Michigan,330.0,210,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,4,No,46.5081094953739,-87.4208446846992
Massanutten,https://www.skiresort.info/ski-resort/massanutten/,95.0,1749,2858,1109,5.0,Virginia,70.0,35,Independent,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,7,No,38.4034887492902,-78.7547990154079
Maverick Mountain,https://www.skiresort.info/ski-resort/maverick-mountain/,49.0,6496,8517,2021,12.0,Montana,255.0,250,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,45.4339652054196,-113.128580027769
McCauley Mountain,https://www.skiresort.info/ski-resort/mccauly-mountain/,40.0,1772,2297,525,6.0,New York,75.0,180,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,5,No,43.6980626525479,-74.9635750709885
McIntyre,https://www.skiresort.info/ski-resort/mcintyre/,57.0,351,509,157,2.0,New Hampshire,37.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,No,43.0062351836235,-71.4411046791014
Meadowlark Ski Lodge,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,62.0,8481,9278,797,6.0,Wyoming,300.0,160,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,No,44.1639801381549,-107.215629847369
Meany Lodge,https://www.skiresort.info/ski-resort/meany-lodge/,60.0,2920,3346,427,1.0,Washington,100.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,47.2802117713962,-121.320279503498
Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,65.0,1821,2657,837,9.0,Vermont,110.0,200,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,4,No,43.9390638679106,-72.9577790781621
Missaukee Mountain,https://www.skiresort.info/ski-resort/missaukee-mountain/,10.0,1253,1411,157,1.0,Michigan,25.0,90,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes,44.3920673639762,-85.2274053831272
Mohawk Mountain,https://www.skiresort.info/ski-resort/mohawk-mountain/,81.0,919,1490,571,5.0,Connecticut,107.0,92,Independent,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,8,No,41.8381109806704,-73.3150251311697
Monarch,https://www.skiresort.info/ski-resort/monarch/,139.0,10794,11909,1115,23.0,Colorado,800.0,350,Independent,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,7,No,38.5119341093121,-106.332256677704
Mont Ripley,https://www.skiresort.info/ski-resort/mont-ripley/,60.0,656,1083,427,4.0,Michigan,112.0,275,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,No,47.1279021926219,-88.5602456490077
Mont du Lac,https://www.skiresort.info/ski-resort/mont-du-lac/,54.99,640,919,279,2.0,Wisconsin,20.0,55,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,No,46.6515796770749,-92.2844870649038
Montage Mountain Resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,89.0,935,1949,1014,6.0,Pennsylvania,140.0,47,Independent,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,6,No,41.351004626727,-75.6619309845132
Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,79.0,4997,7598,2602,19.0,Montana,950.0,300,Independent,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,6,No,47.0144510796211,-113.999707797169
Moose Mountain,https://www.skiresort.info/ski-resort/moose-mountain/,55.0,679,1952,1273,16.0,Alaska,200.0,70,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,64.9404426895369,-147.991355521483
Mt. Abram,https://www.skiresort.info/ski-resort/mt-abram/,39.0,951,2001,1050,9.0,Maine,170.0,115,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,4,No,44.3796619039895,-70.7067943423313
Mt. Ashland,https://www.skiresort.info/ski-resort/mt-ashland/,79.0,6339,7500,1161,8.0,Oregon,240.0,300,Independent,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,6,No,42.0817384270801,-122.704953326488
