name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude
Eldora Mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,199.0,9199,10801,1601,32.0,Colorado,680.0,300,Powdr,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,1,1,1,10,No,39.936907670782,-105.58362274104
Elk Mountain,https://www.skiresort.info/ski-resort/elk-mountain/,89.0,1706,2690,984,9.0,Pennsylvania,140.0,65,Independent,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6,No,41.7230922724518,-75.5533631304153
Elko Snowbowl,https://www.skiresort.info/ski-resort/elko-snobowl/,20.0,6339,6988,650,2.0,Nevada,60.0,24,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,40.9087182990652,-115.854217229024
Ferguson Ridge,https://www.skiresort.info/ski-resort/ferguson-ridge/,20.0,5200,5840,640,3.0,Oregon,170.0,300,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,45.2818285027238,-117.112116090316
Fort Wainwright – Birch Hill,https://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,30.0,459,984,525,3.0,Alaska,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No,64.8585918456996,-147.619431540999
Four Lakes,https://www.skiresort.info/ski-resort/four-lakes/,30.0,656,722,66,1.0,Illinois,9.0,24,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,Yes,41.7807983122941,-88.0832867666979
Four Seasons,https://www.skiresort.info/ski-resort/four-seasons/,30.0,525,607,82,0.5,New York,25.0,125,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No,43.0357831001274,-75.9721773178541
Frisco Adventure Park,https://www.skiresort.info/ski-resort/frisco-adventure-park/,55.0,9085,9163,79,0.1,Colorado,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Yes,39.573684425141,-106.077682971732
Frost Fire Park,https://www.skiresort.info/ski-resort/frost-fire-park/,50.0,1083,1444,361,1.0,North Dakota,30.0,35,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,No,48.9120255438674,-98.0686432833885
Giants Ridge,https://www.skiresort.info/ski-resort/giants-ridge/,64.0,1444,1837,394,7.0,Minnesota,165.0,62,Independent,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,2,7,No,47.5762880634521,-92.3034803393746
Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,109.0,997,3599,2602,36.0,New York,439.0,150,New York State,0,1,0,0,0,0,0,3,6,1,0,0,0,0,1,0,0,2,14,No,43.6727116846365,-74.0074677758006
Granby Ranch,https://www.skiresort.info/ski-resort/granby-ranch/,164.0,8199,9199,1001,12.0,Colorado,406.0,120,Independent,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,6,No,40.0446160179453,-105.906278859327
Grand Geneva,https://www.skiresort.info/ski-resort/grand-geneva/,70.0,787,997,210,1.0,Wisconsin,20.0,46,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,6,No,42.6113706796109,-88.3864054634684
Grand Targhee,https://www.skiresort.info/ski-resort/grand-targhee/,170.0,7651,9862,2211,35.0,Wyoming,2602.0,500,Independent,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,6,No,43.7888594489091,-110.957590249613
Granite Gorge,https://www.skiresort.info/ski-resort/granite-gorge/,55.0,801,1325,525,4.0,New Hampshire,25.0,100,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,No,42.9708916180167,-72.2120761898773
Granite Peak,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,105.0,1247,1949,702,12.0,Wisconsin,155.0,75,Midwest Family Ski Resorts,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,2,7,No,44.929020884139,-89.683766937317
Granlibakken,https://www.skiresort.info/ski-resort/granlibakken/,45.0,6312,6611,299,1.0,California,25.0,170,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes,39.1554361019215,-120.154048740325
Great Bear Ski Valley,https://www.skiresort.info/ski-resort/great-bear-ski-valley/,35.0,1345,1542,197,2.0,South Dakota,20.0,49,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,No,43.5779634092926,-96.6649009549158
Great Divide,https://www.skiresort.info/ski-resort/great-divide/,68.0,5748,7251,1503,31.0,Montana,1600.0,180,Independent,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,6,No,46.7526346800267,-112.314192899339
Greek Peak,https://www.skiresort.info/ski-resort/greek-peak/,115.0,1148,2100,951,12.0,New York,220.0,122,Independent,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,2,8,No,42.507952835637,-76.145009035926
Gunstock,https://www.skiresort.info/ski-resort/gunstock/,109.0,866,2264,1398,25.0,New Hampshire,227.0,120,Independent,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,8,No,43.5407035680523,-71.3665668479944
Hanson Hills,https://www.skiresort.info/ski-resort/hanson-hills/,30.0,1148,1280,131,1.0,Michigan,125.0,60,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,Yes,44.6455937707218,-84.7536994088373
Hard’ack (Aldis Hill),https://www.skiresort.info/ski-resort/hardack-aldis-hill-st-albans/,0.0,623,755,131,0.1,Vermont,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,44.8153058326591,-73.0666027860906
Hatley Pointe,https://www.skiresort.info/ski-resort/wolf-ridge/,88.0,3999,4698,699,4.0,North Carolina,72.0,65,Independent,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,5,No,35.9541380045367,-82.5088419613478
Heavenly,https://www.skiresort.info/ski-resort/heavenly/,265.0,6657,10067,3502,58.0,California,4800.0,360,Vail Resorts,1,1,0,0,0,2,0,8,1,5,0,2,0,0,0,0,2,4,26,No,38.9347057927039,-119.940079125155
Hermon Mountain,https://www.skiresort.info/ski-resort/hermon-mountain/,55.0,164,459,295,2.0,Maine,60.0,90,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,No,44.7806330628185,-68.9570670554077
Hesperus Ski Area,https://www.skiresort.info/ski-resort/hesperus-ski-area/,48.0,8278,8878,600,6.0,Colorado,60.0,150,Mountain Capital Partners,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No,37.2985613131526,-108.055322022662
Hiawatha – Rock River Township,https://www.skiresort.info/ski-resort/hiawatha-rock-river-township/,5.0,850,938,89,0.3,Michigan,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,46.3581714755926,-86.8812239069032
Hidden Valley (Missouri),https://www.skiresort.info/ski-resort/hidden-valley-mo/,52.0,492,787,295,2.0,Missouri,65.0,19,Vail Resorts,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,7,No,38.5351202062255,-90.6509531632514
Hidden Valley (Pennsylvania),https://www.skiresort.info/ski-resort/hidden-valley-pa/,76.0,2395,2920,525,6.0,Pennsylvania,110.0,140,Vail Resorts,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,8,No,40.0577928580795,-79.2578199930338
Hillberg,https://www.skiresort.info/ski-resort/hillberg/,28.0,131,394,262,1.0,Alaska,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,No,61.2751919629919,-149.82116625393
Hilltop,https://www.skiresort.info/ski-resort/hilltop-anchorage/,39.0,492,787,295,3.0,Alaska,30.0,76,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,No,61.1409961476271,-149.744703410311
Hoedown Hill,https://www.skiresort.info/ski-resort/hoedown-hill-windsor/,51.0,4839,4970,131,1.0,Colorado,12.0,24,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,Yes,40.452640007411,-104.930769837536
Hogadon Ski Area,https://www.skiresort.info/ski-resort/hogadon-ski-area/,60.0,7398,7999,600,3.0,Wyoming,60.0,140,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No,42.7445338188477,-106.338362242757
Holiday Mountain (New York),https://www.skiresort.info/ski-resort/holiday-mountain-ny/,75.0,1050,1444,394,2.0,New York,37.0,90,Independent,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,No,41.6264933413898,-74.6109681445628
Holiday Valley,https://www.skiresort.info/ski-resort/holiday-valley/,105.0,1499,2247,748,30.0,New York,290.0,180,Independent,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0,0,2,13,No,42.2625035071625,-78.6653806301598
Holimont,https://www.skiresort.info/ski-resort/holimont/,114.0,1558,2260,702,12.0,New York,135.0,180,Independent,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,2,8,No,42.2729118230291,-78.6877224644232
Homewood Mountain Resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,159.0,6230,7881,1650,12.0,California,1260.0,450,JMA Ventures,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,6,No,39.0853334379431,-120.1619123945
Hoodoo Ski Area,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,85.0,4692,5709,1017,11.0,Oregon,806.0,350,Independent,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,6,No,44.4084752556319,-121.871405074466
Howelsen Hill,https://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,49.0,6693,7136,443,2.0,Colorado,50.0,170,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,No,40.4833852695287,-106.83845825946
Huff Hills,https://www.skiresort.info/ski-resort/huff-hills/,39.0,1870,2231,361,2.0,North Dakota,80.0,40,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,No,46.6268871105075,-100.723374935725
Hunt Hollow Ski Club,https://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,70.0,1132,2008,876,3.0,New York,80.0,130,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,No,42.6459959711726,-77.4782967224263
Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,119.0,1598,3199,1601,34.0,New York,320.0,120,Vail Resorts,0,0,0,0,0,3,0,1,2,1,0,2,0,0,0,1,0,3,13,No,42.2045265507671,-74.2108603032475
Hurricane Ridge,https://www.skiresort.info/ski-resort/hurricane-ridge/,57.0,4800,5499,699,1.0,Washington,250.0,400,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,Yes,47.9693016642462,-123.498458212375
Hyland Hills,https://www.skiresort.info/ski-resort/hyland-hills/,44.0,853,1017,164,1.0,Minnesota,35.0,60,Independent,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,8,No,44.8437267252721,-93.3637614531589
Jack Frost Mountain,https://www.skiresort.info/ski-resort/jack-frost-mountain/,105.0,1401,2001,600,7.0,Pennsylvania,100.0,50,Vail Resorts,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,6,No,41.1075794353382,-75.6519291686943
Jackson Hole,https://www.skiresort.info/ski-resort/jackson-hole/,269.0,6312,10449,4137,72.0,Wyoming,2500.0,459,Independent,1,2,0,0,0,0,0,6,3,0,0,1,0,0,0,0,1,2,16,No,43.5893595892153,-110.82849785039
Jay Peak,https://www.skiresort.info/ski-resort/jay-peak/,129.0,1847,3855,2008,47.0,Vermont,385.0,349,Pacific Group Resorts,1,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,2,9,No,44.9384784616126,-72.5062957979276
Jiminy Peak,https://www.skiresort.info/ski-resort/jiminy-peak/,109.0,1247,2375,1129,6.0,Massachusetts,170.0,100,Independent,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,2,9,No,42.5551067560408,-73.290749250716
John & Melissa Besse Sports Park – Gladstone,https://www.skiresort.info/ski-resort/john-melissa-besse-sports-park-gladstone/,12.0,643,748,105,0.4,Michigan,25.0,50,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes,45.8604473436724,-87.0376130987832
June Mountain,https://www.skiresort.info/ski-resort/june-mountain/,199.0,7507,10089,2582,25.0,California,1500.0,250,Alterra,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,7,No,37.7679730434281,-119.090472342176
Kelly Canyon,https://www.skiresort.info/ski-resort/kelly-canyon/,79.0,5807,6660,853,7.0,Idaho,640.0,200,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,No,43.6457218544875,-111.629520322929
