Name,State,Expected Price,Actual Price,Price Residual
Bridger Bowl,Montana,133.59279522887482,97.0,-36.59279522887482
49 Degrees North,Washington,120.9571840178606,84.0,-36.9571840178606
Blue Mountain,Pennsylvania,137.24392899743015,99.0,-38.243928997430146
Lost Trail Powder Mountain,Montana,106.81793114976622,68.0,-38.817931149766224
Holiday Valley,New York,144.93340175262696,105.0,-39.93340175262696
Lee’s Ski Hill,Colorado,40.275900050851405,0.0,-40.275900050851405
Mount Snow,Vermont,189.54320118138605,149.0,-40.54320118138605
Whiteface – Lake Placid,New York,171.87323304632304,129.0,-42.87323304632304
Turner Mountain,Montana,87.92559449387073,45.0,-42.92559449387073
Willamette Pass,Oregon,108.93885198578675,66.0,-42.938851985786755
Bear Paw Ski Bowl,Montana,69.06765949608013,25.0,-44.067659496080125
Maverick Mountain,Montana,93.15284228782517,49.0,-44.152842287825166
Deer Valley,Utah,344.64048645865734,299.0,-45.640486458657335
Sunday River,Maine,206.28185902576357,159.0,-47.281859025763566
Whitefish Mountain Resort,Montana,157.54350836011508,110.0,-47.543508360115084
Wolf Creek,Colorado,141.45313007622283,91.0,-50.453130076222834
Arizona Snowbowl,Arizona,177.69108138396177,127.0,-50.69108138396177
Discovery Ski Area,Montana,117.6284410325339,65.0,-52.6284410325339
White Pass,Washington,128.05030091958844,75.0,-53.05030091958844
Bogus Basin,Idaho,136.08831509132878,79.0,-57.08831509132878
Gore Mountain,New York,175.08421887028544,109.0,-66.08421887028544
Palisades Tahoe,California,373.859091570349,290.0,-83.859091570349
Red Lodge Mountain,Montana,226.02236756640448,107.0,-119.02236756640448
